1082 - 2019-01-17 13:57:39,312 - DEBUG - Testing from  Validate file
1082 - 2019-01-17 13:58:18,537 - DEBUG - Testing from  Validate file
1082 - 2019-01-17 13:58:18,537 - DEBUG - Testing from  Validate file
1082 - 2019-01-17 13:58:20,768 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:20,768 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:25,979 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:25,979 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:37,256 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:37,256 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:51,456 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:51,456 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:54,382 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:54,382 - ERROR - file:/C:/Users/harshit.kushwaha/PycharmProjects/validator/files/invalid.xml:5:0:ERROR:SCHEMASV:SCHEMAV_ELEMENT_CONTENT: Element 'address': This element is not expected. Expected is ( phone ).
1082 - 2019-01-17 13:58:57,352 - DEBUG - Testing from  Validate file
1082 - 2019-01-17 13:58:57,352 - DEBUG - Testing from  Validate file
1082 - 2019-01-17 13:58:57,352 - DEBUG - Testing from  Validate file
1082 - 2019-01-17 14:25:41,389 - INFO - ************** Application terminated  **************
1082 - 2019-01-17 14:25:41,389 - INFO - ************** Application terminated  **************
1082 - 2019-01-17 14:25:41,389 - INFO - ************** Application terminated  **************
